iter	Passed	Remaining
0	0	206
1	1	166
2	1	157
3	2	148
4	2	145
5	2	144
6	3	146
7	3	143
8	4	143
9	4	140
10	5	139
11	5	138
12	6	137
13	6	135
14	7	133
15	7	132
16	7	130
17	8	128
18	8	127
19	9	126
20	9	125
21	9	125
22	10	125
23	10	125
24	11	125
25	11	124
26	12	123
27	12	122
28	13	121
29	13	120
30	13	120
31	14	120
32	14	119
33	15	119
34	15	119
35	16	118
36	16	118
37	17	117
38	17	117
39	17	116
40	18	115
41	18	115
42	19	114
43	19	113
44	19	113
45	20	112
46	20	111
47	21	110
48	21	109
49	21	109
50	22	108
51	22	107
52	23	107
53	23	106
54	23	106
55	24	105
56	24	105
57	25	104
58	25	104
59	25	103
60	26	103
61	26	102
62	27	101
63	27	101
64	27	100
65	28	100
66	28	100
67	29	100
68	29	99
69	30	99
70	30	98
71	31	98
72	31	97
73	31	97
74	32	96
75	32	96
76	33	95
77	33	95
78	33	94
79	34	94
80	34	93
81	35	93
82	35	92
83	35	92
84	36	91
85	36	91
86	37	90
87	37	90
88	38	90
89	38	89
90	38	89
91	39	88
92	39	88
93	40	87
94	40	87
95	40	86
96	41	86
97	41	86
98	42	85
99	42	85
100	43	84
101	43	84
102	43	84
103	44	83
104	44	83
105	45	82
106	45	82
107	46	82
108	46	81
109	46	81
110	47	80
111	47	80
112	48	79
113	48	79
114	49	78
115	49	78
116	49	77
117	50	77
118	50	76
119	51	76
120	51	76
121	51	75
122	52	75
123	52	74
124	53	74
125	53	74
126	54	73
127	54	73
128	54	72
129	55	72
130	55	71
131	56	71
132	56	70
133	56	70
134	57	70
135	57	69
136	58	69
137	58	68
138	59	68
139	59	67
140	59	67
141	60	67
142	60	66
143	61	66
144	61	65
145	61	65
146	62	64
147	62	64
148	63	64
149	63	63
150	63	63
151	64	62
152	64	62
153	65	61
154	65	61
155	66	61
156	66	60
157	67	60
158	67	59
159	67	59
160	68	58
161	68	58
162	69	58
163	69	57
164	69	57
165	70	56
166	70	56
167	71	55
168	71	55
169	72	55
170	72	54
171	72	54
172	73	53
173	73	53
174	74	52
175	74	52
176	74	52
177	75	51
178	75	51
179	76	50
180	76	50
181	76	49
182	77	49
183	77	48
184	77	48
185	78	47
186	78	47
187	79	47
188	79	46
189	80	46
190	80	45
191	80	45
192	81	45
193	81	44
194	81	44
195	82	43
196	82	43
197	82	42
198	83	42
199	83	41
200	84	41
201	84	40
202	84	40
203	85	40
204	85	39
205	86	39
206	86	38
207	87	38
208	87	38
209	87	37
210	88	37
211	88	36
212	88	36
213	89	35
214	89	35
215	89	34
216	90	34
217	90	34
218	91	33
219	91	33
220	91	32
221	92	32
222	92	31
223	92	31
224	93	31
225	93	30
226	94	30
227	94	29
228	95	29
229	95	29
230	95	28
231	96	28
232	96	27
233	96	27
234	97	26
235	97	26
236	98	26
237	98	25
238	99	25
239	99	24
240	99	24
241	100	24
242	100	23
243	101	23
244	101	22
245	101	22
246	102	21
247	102	21
248	102	21
249	103	20
250	103	20
251	104	19
252	104	19
253	104	18
254	105	18
255	105	18
256	106	17
257	106	17
258	106	16
259	107	16
260	107	16
261	108	15
262	108	15
263	108	14
264	109	14
265	109	14
266	109	13
267	110	13
268	110	12
269	111	12
270	111	11
271	111	11
272	112	11
273	112	10
274	113	10
275	113	9
276	113	9
277	114	9
278	114	8
279	115	8
280	115	7
281	115	7
282	116	6
283	116	6
284	117	6
285	117	5
286	118	5
287	118	4
288	118	4
289	119	4
290	119	3
291	119	3
292	120	2
293	120	2
294	121	2
295	121	1
296	121	1
297	122	0
298	122	0
299	123	0
