股票代码,截止日期,股票简称,行业代码,所属省份,股权性质,净资产收益率(%),资产报酬率(%),EBITDA率(%),营业收入增长率(%),成本费用利润率(%),总资产周转率(%),应收账款周转率(%),存货周转率(%),营业周期,现金资产比率(%),技术人员占比(%),研发营收比(%),发明专利申请数,数字化软硬件投入比(%),管理层数字职务设立,数字化战略导向前瞻性,数字化战略导向持续性,数字化战略导向广度,数字化战略导向强度,数字发明专利,数字国家级奖项,数字创新论文,数字创新标准,数字创新资质,两权分离率(%),数字人力计划投入,数字资本计划投入,科技创新基地建设,员工人均营收比(%),提供岗位增长率(%),员工收入增长率(%),社会责任报告质量,供应链合作伙伴,数字化供应链覆盖度,客户集中度(%),供应商集中度(%),行业名称,score
000012,2018,南玻A,30,广东省,民营,0.051808,0.046262,19.12151425,-0.024766,0.054268,0.549039,17.24536,58.53282300000001,50.067511,0.1114550590670946,1.35,3.6,0.0,0.0,0.0,2.0,3.0,3.0,0.116982,0.0,0.0,0.0,0.0,0.0,8.238,0.0,0.0,0.0,0.9824039825,-10.780669144981411,-0.020985028290705587,8.00000394534807,0.0,4.0,8.14,18.06,非金属矿物制品业,0.045123587309725155
000012,2019,南玻A,30,广东省,民营,0.058029,0.051053,19.25298789,-0.013001,0.069636,0.56127,16.86433,60.19751000000001,54.934015,0.1307074050003529,1.76,4.21,0.0,0.0,0.0,3.0,4.0,2.0,0.078217,0.0,0.0,0.0,0.0,0.0,15.3372,0.0,0.0,0.0,1.001724516835661,-3.2037037037037086,0.2679851479373663,10.00000039973152,0.0,4.0,11.49,16.19,非金属矿物制品业,0.052990939938974795
000012,2020,南玻A,30,广东省,民营,0.079286,0.0737,22.52996013,0.019025,0.121556,0.591465,16.033155,62.01306400000001,62.834391,0.1526943259292358,1.61,4.07,4.990432586778736,0.0,0.0,4.0,5.0,2.0,0.078947,0.0,0.0,0.0,0.0,0.0,15.5175,0.0,0.0,0.0,1.010726789638189,0.9948345131050252,0.013277206744114922,9.00019613439647,0.0,4.0,9.17,16.23,非金属矿物制品业,0.08707202539642998
000012,2021,南玻A,30,广东省,民营,0.138887,0.109384,30.22825029,0.277173,0.179459,0.720688,19.304678,61.89001400000001,58.275209,0.1956975300312617,1.45,4.04,5.075173815233827,0.0,0.0,5.0,6.0,3.0,0.082729,0.0,0.0,0.0,0.0,0.0,15.5186,0.0,0.0,0.0,1.1443353190596135,12.805455578708091,0.244954819418318,9.0,0.0,8.0,8.73,19.17,非金属矿物制品业,0.09832303832850701
000012,2022,南玻A,30,广东省,民营,0.161923,0.105894,34.26217459,0.115171,0.17574,0.663121,15.910558,63.511942000000005,70.655711,0.075552896297605,1.51,4.55,4.804021044733257,0.0,0.0,6.0,7.0,3.0,0.078121,0.0,0.0,0.0,0.0,0.0,14.8012,108.0,0.0,0.0,1.0659027279612876,19.72292191435767,0.11122009731195924,9.0,0.0,7.0,15.73,19.41,非金属矿物制品业,0.09868634828466313
000012,2023,南玻A,30,广东省,民营,0.110806,0.063663,30.43684618,0.197132,0.099642,0.646744,11.885119,62.77956900000001,74.256553,0.0908959780175781,12.82,4.15,5.056245805348308,0.0,0.0,7.0,8.0,3.0,0.094639,0.0,0.0,0.0,0.0,0.0,14.8046,171.0,0.0,0.0,1.2410384261646543,2.819272038712395,0.020525825172601486,9.0,0.0,7.0,20.24,22.09,非金属矿物制品业,0.10651593888376656
000030,2018,富奥股份,36,吉林省,国企,0.129891,0.08036,11.4674617339,0.091651,0.117539,0.712362,4.735643,61.254172000000004,113.916361,0.0292828096430267,12.61,2.72,0.0,0.0,0.0,5.0,5.0,2.0,0.084412,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0386952932738094,8.495981630309979,0.27819528834024876,0.0,5.0,0.0,67.76,16.91,汽车制造业,0.07794358025590739
000030,2019,富奥股份,36,吉林省,国企,0.121144,0.076441,12.372311659100001,0.2816,0.097399,0.818105,5.63648,60.613592000000004,99.360638,0.0283392763065572,13.0,2.12,0.0,0.0,0.0,6.0,6.0,2.0,0.0818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.351753932323707,-1.5211640211640232,-0.2506454815828024,0.0,5.0,1.0,70.73,16.12,汽车制造业,0.07940950858274545
000030,2020,富奥股份,36,吉林省,国企,0.11552,0.067531,12.6724404909,0.104297,0.085494,0.81173,6.676066,61.38696300000001,92.266807,0.0412769400394585,13.0,2.18,0.0,0.0,0.0,7.0,7.0,5.0,0.182962,0.0,0.0,0.0,0.0,1.0,2.7348,0.0,0.0,0.0,1.502423999795863,-0.64472800537273,0.7307316094639953,0.0,2.0,0.0,73.51,16.42,汽车制造业,0.07231461542879566
000030,2021,富奥股份,36,吉林省,国企,0.092734,0.057768,12.2846540162,0.154297,0.066624,0.874976,7.482725,60.725536000000005,83.754117,0.1216859121703948,12.7,2.96,0.0,0.0,0.0,8.0,8.0,6.0,0.19439,0.0,0.0,0.0,0.0,0.0,2.7546,3.0,0.0,0.0,1.6670830902157243,4.028660267676076,-0.2418018857589128,0.0,2.0,0.0,66.48,12.46,汽车制造业,0.07542013164496783
