score,content,location,datetime
4,龟山汉墓有三部分组成，点石园，西汉楚王刘注的夫妻合葬墓，两千多年前由人工钎锤打造几十年，挖空龟儿底，工程巨大。圣旨博物馆，三处离的较近，大人，老人都可玩。自从山东，河南，山西，安微对60岁以上老人免门票后这段时间徐州市国有景点部分免费，点赞，自驾游可以带老人观看，拉动住宿，门票，饮食，高速费收入，激活经济。,山东省,2024-01-05 11:45:41
5,刚下车，就看到许许多多茂盛的大树、碧绿的小草、五颜六色的花朵在争奇斗艳。走进雄伟壮观的大门内，只见路两旁分布着好多形态各异的石雕动物，仿佛在欢迎着我们的到来。转眼来到了墓室，顿时感到阵阵凉意。这可真是夏天避暑的好地方！值得一游,江苏省,2024-02-01 07:24:50
5,携程订票方便，不用取票，二维码直接扫码进。有厚重的历史感，古人智慧卓然。有不能解释的迷，延续至今。有有趣的历史故事，有祖国文化的传承。值得一去。说一行人多了，可以请专业的导游讲解。也可以租个讲解器，龟山汉墓，奇石园，圣旨博物馆的讲解都有啦，也很方便。推荐。,江苏省,2024-01-14 09:20:05
5,过年期间连导游都没有请的到，幸好左右听听还是听到了点背后的故事，龟山汉墓可以看到楚王和楚王后的棺以及著名的楚王迎宾像，还能在大广场上看到当年盗墓贼的牛鼻子盗洞,江苏省,2024-02-15 03:46:45
5,都说徐州两汉文化发源地，著名的帝王乡，徐州城里处处是汉墓，再博物馆看着徐州汉墓分布图，听着当地人聊天你家住在哪个墓，恩楚王墓附近周六早晨从北京南站出发，3小时的高铁到达徐州东站景点篇第一站，走进龟山汉墓，襄阳刘注之墓，也是夫妻合墓。第一次身临其境，感受了一下盗墓笔记的既视感，走在56米的甬道上，不禁有一丝寒意袭来，同时被古人的智慧所震撼。,北京市,2024-02-09 23:44:42
5,不错，体验很好，真的汉墓。龟山汉墓的80元门票包含点石园和圣旨博物馆两个景点，一定不要看完汉墓就走，要把另外两个景点转完，这两个景点也是很不错的，值得一去我门票凭借学生证是半价，本地的老年人免门票，外地来的老年人有优惠，墓室里面很凉，比外面的温度低很多。,山东省,2024-02-04 22:50:27
5,网上购票方便，不用换票，直接验证二维码即可。龟山汉墓确实出乎自己的意料，作为有据可考的且开放的汉墓，可以让普通人对古代帝王陵墓有一个直观的认识和了解。,山东省,2024-02-16 10:58:16
5,肯定是要去看一下，就是十一人太多，挤挤挨挨的影响参观感受。平时人少，再请个讲解，慢慢逛最好。后面的博物馆也很不错，有时间平时还会再去一次。,浙江省,2024-02-10 09:23:45
5,比狮子山楚王陵规模小些，但是很精致，甬道墙面光滑平直，真不敢相信是2000多年前的古人挖掘建造的，7大未解之谜很有意思，出来还可以参观点石园和圣旨博物馆，不虚此行,河南省,2024-02-16 15:16:50
5,能学习到很多汉代历史，当时是经济，地位等级，所用的器皿和工具。也很震惊古代没有机械的时代能做到精准定位完成这样的宏伟工程。,北京市,2024-01-26 08:13:16
5,历史底蕴。王陵墓冢。真的很棒。后面的点石园也非常不错！！！！,天津市,2024-01-31 00:23:12
5,徐州有许多好地方，龟山汉墓是其中一个，这是能直接走进的汉墓之一，体验感非常好。甬道只有不到180公分，得弯腰进，结构宏大，体会古人的匠心。,上海市,2024-02-17 00:40:32
3,小时候曾来参观过一次，印象最深的是那条笔笔直的墓道。这次回徐州、特地再来看一看。门票含龟山汉墓，圣旨博物馆和点石园，但主要还是为了看龟山汉墓而来。墓主人身份明确，第六代楚王襄王刘注，依山为陵，几乎掏空了整座山。最有特点的是两条南北平行甬道，几乎毫无偏差。门票有些贵，但也值得一观。,江苏省,2024-02-18 11:49:01
5,门票包含龟山汉墓和旁边的点石园、圣旨博物馆，可以一起参观。现在汉墓前的银杏树全开，风景不错。第六代楚王的夫妻墓，墓道笔直，精度很高，佩服古人的智慧。,江苏省,2023-11-22 11:17:01
5,龟山汉墓为西汉第六代楚王刘注的夫妻合葬墓。墓葬东西长83米，南北最宽处达33米，总面积达700余平方米，几乎将整个山体掏空。共有15间大小配套、主次分明的墓室，卧室、客厅、马厩、厨房一应俱全，井然有序，是一座地下宫殿。南北两条平行的甬道各长56米，沿中线开凿最大偏差仅有5毫米，精度达到110000，南北甬道之间相距19米，夹角为20秒，误差仅为116000，每条甬道有26块重达67吨的塞石封堵。龟山汉墓有许多不解之谜，因此被称为东方金字塔。龟山汉墓值得一看，记得要听导游讲解更有意思，其余两个馆体验感一般。,陕西省,2023-08-23 02:27:03
5,超棒值得一去,江苏省,2024-02-17 13:36:02
5,喜欢去这些有历史的地方，过年期间人不是很多，还不错。,北京市,2024-02-17 13:12:08
5,景区不大，但是很有参观游览价值，景区门口刷身份证直接进，景区维护的很好,河北省,2024-02-17 01:16:05
5,讲解的小姐姐是本地人，对当地文化习俗有一种友好的自信。人也很热情，对景点的各个解说点都很到位。除此之外，她也很随和，很乐意阐述自己的观点，一些不在古籍中的观点。是一个乐观有趣的人，谢谢她,河北省,2023-12-30 12:37:59
5,徐州龟山景区的主要景点之一，为西汉第六代楚王襄王刘注的夫妻合葬墓。东西长83米，南北最宽处达33米，总面积达700余平方米，几乎将整个山体掏空。共有15间大小配套、主次分明的墓室，卧室、客厅、马厩、厨房一应俱全，井然有序，是一座地下宫殿。,江苏省,2023-10-07 14:21:38
4,这个要提前做功课才有意思。不然你就要花钱请导游。不然人家什么都不告诉你。这里的龟纽印是仿制的，但人家就是不说，只到你去徐州博物馆才发现那里还有一个，尴尬不？,山东省,2023-11-13 14:51:01
5,一定要请讲解！！！不然你啥也看不到,江苏省,2023-12-04 09:24:24
5,一直以来最喜欢的就是古迹，龟山汉墓现实版的盗墓笔记，一个人还是有点害怕,山东省,2023-11-12 09:26:45
5,一共分三个景点汉墓点石园圣旨博物馆俩小时够了圣旨博物馆请导游讲解一下有意思点石园可敲钟祈福汉墓里面有墓道，很深,北京市,2024-02-18 13:37:42
5,景点壮观，历史丰富，值得一观,天津市,2024-01-03 03:08:51
5,汉墓虽小，但给人震撼,湖北省,2024-02-17 13:16:36
5,龟山汉墓闻名已久，孩子假期来汉家之地一探究竟。汉墓里能见楚襄王身后宏伟墓室，凿空了一座山，佩服汉代工匠。还有石刻博物馆和圣旨博物馆，历史传承的不同形式。,山东省,2023-07-31 12:14:02
5,深入龟山汉墓，随着古道，深入古墓，还是挺震撼的！更了解到了一个未解之谜，满足了孩子的考古之心！一次难忘而刺激的经历！不错！,湖北省,2024-02-15 03:35:32
5,网上订票很方便，价格比现场买还要便宜一点，使用也很方便，直接刷二维码就能进入。龟山汉墓值得一游，最好来之前做点攻略，这样看起来会觉得更有意思。,安徽省,2023-10-02 11:57:03
5,龟山汉墓可以真实的体验到地下陵墓的那种阴森森的感觉，而且还有珍贵的文物可以游览，但是感觉距离徐州市的市中心好像有一点距离,陕西省,2023-07-27 12:48:40
4,停车很方便，一张票可以去龟山汉墓，点石园和圣旨博物馆。龟山汉墓七百多平，第一次去参观墓穴还是很震撼的，不是里面有多豪华，而是全部空间都是人为凿出来的，墙面全部都是印，触摸能感受到千年以前工匠的力量。,江苏省,2023-07-30 13:32:35
5,徐州必打卡景点，园区挺大的，汉墓很壮观长知识了，点石园是个惊喜，很精致的园子，仿佛到了江南，还有圣旨博物馆可以逛，汉墓后面还能上山。,天津市,2023-10-15 23:49:57
5,龟山汉墓位于徐州市龟山的西麓，是西汉第六代楚王襄王刘注的夫妻合葬墓。景区周边群山环绕，极有气势。景区内可游览墓葬坑，还有很多汉文化。,天津市,2023-10-04 04:33:56
4,古人的智慧和行动力还是很赞的，以凿山为墓是汉楚王的特色，一直想实地参观，特意打卡了。,安徽省,2023-12-12 10:35:25
5,谢谢杨导，踩着暑假尾巴，随意看了看徐州，还是不错的还推荐了一些吃的，非常好,江苏省,2023-09-01 21:15:12
5,08年来过一次，15年后带娃再次感受龟山汉墓，让少爷体验一下摸金校尉的工作环境。少爷带着好奇下到墓室，带着收货来到地面，对汉墓有了亲身体验。,河北省,2023-10-04 05:19:00
5,龟山墓位于大汉起源地徐州，规模宏伟，年代感十足，值得打卡。,江苏省,2023-11-20 13:00:08
5,购票方便，直接在入口处刷取二维码就行了，就是春节人太多了,江苏省,2024-02-16 05:04:23
5,龟山汉墓非常值得一去，也是和家人慕名而来，旁边的点石园环境优美，桂花飘香非常适合小憩休息，圣旨博物馆也有特色，一票三景点值得参观。,山东省,2023-10-04 22:51:47
5,很好知识性很强，非常值得一游！三个收费景点联票80元携程网购72元。免费园区环绕龟山一周，步行一圈园林风景也不错，还能达到健身目的。退役军人优待证可免门票,江苏省,2023-10-30 16:26:40
5,龟山汉墓被称为东方金字塔，是楚王刘注和他夫人的合葬墓。这座汉墓占地700多平米，建造时基本挖空了整座龟山，里面有15个套间，按功能区划分，卫生间、客厅、厨房、马厩...史志上有记载，当时为了建墓，光凿山就用了13年。,江苏省,2023-07-23 07:28:23
4,龟山汉墓虽然空无一物，但精准的墓道还是很令人震撼的，国内能下的汉墓大概只有两个，它是其一。附属的点石园和圣旨博物馆也很值得一看，很好奇这些藏品都是哪里收来的。景区整体环境幽美，还是很值得一游的。,江苏省,2023-09-13 13:48:26
5,导游人好，讲得也不错，还有小故事,江苏省,2023-12-29 06:19:50
4,值得一去，但是不要在节假日去。汉墓旁边还有一个圣旨博物馆，馆藏不错，就是非常闷热，没办法静下心观看。景区外有出租汉服的，值得租一套，景色非常适宜拍照。,山东省,2023-10-04 05:05:10
5,小姐姐特别热情，讲解富有感染力，事先提醒我们购票优惠政策，还推荐了我们居住酒店附近的游玩吃喝攻略，非常热情友善，了解徐州历史文化建议一定要请个讲解。,江苏省,2023-07-27 01:31:28
5,有盗墓笔记的感觉，身临其境,上海市,2024-01-06 03:23:37
5,夏天去的，墓地里很冷。,山东省,2024-01-08 01:52:21
5,不可思议神一般的工程,江苏省,2024-02-15 00:23:39
5,了解汉文化，值得一去,江苏省,2024-02-13 12:00:02
5,非常值得去的景点！,江苏省,2024-01-01 02:14:03
5,可以去，值得参观,河北省,2024-01-20 11:03:55
5,不错。有意思,江苏省,2024-02-17 02:07:52
5,还可以吧,上海市,2024-02-15 01:17:51
5,汉代文化遗产,北京市,2024-02-11 15:37:23
5,值得一去，,河南省,2024-01-06 23:01:39
5,不错，壮观,江苏省,2023-12-26 11:00:40
4,是一个参观汉文化的好地方。地宫很长，赶上春节参观的人很多，有比较的的停车场，停车方便。,安徽省,2024-02-12 12:25:51
5,龟山汉墓景区规模比较大，除了设计技艺高超的龟山汉墓外，还可以去参观圣旨博物馆和点石园，距离不远，可以一起参观，收获较为丰富。,湖南省,2023-08-28 10:11:16
5,龟山汉墓和圣旨博物馆很不错，，，，，，，，，，，，，，，，，，，。。。。。。。。。。。。。。。。。。。。。。。。。。。。。,山东省,2023-12-03 11:50:31
5,景点分三部分，龟山汉墓和两个私人博物馆，龟山汉墓从墓葬规制到功能性划分都值得参观。建议时间允许可以都看一看，值得去一次的。,江苏省,2023-10-23 11:39:48
5,做个藩王有吃有喝无忧无虑多好,上海市,2023-07-31 23:39:50
4,一般般，不找讲解员的就不要去了。啥都看不懂。蹭团的不错。呵呵,江苏省,2024-02-16 04:06:34
5,很大、保护的很好,北京市,2023-11-04 22:19:44
