,股票代码,股票简称,截止日期,行业名称,所属省份,股权性质
0,000012,南玻A,2018,非金属矿物制品业,广东省,民营
1,000012,南玻A,2019,非金属矿物制品业,广东省,民营
2,000012,南玻A,2020,非金属矿物制品业,广东省,民营
3,000012,南玻A,2021,非金属矿物制品业,广东省,民营
4,000012,南玻A,2022,非金属矿物制品业,广东省,民营
5,000012,南玻A,2023,非金属矿物制品业,广东省,民营
6,000030,富奥股份,2018,汽车制造业,吉林省,国企
7,000030,富奥股份,2019,汽车制造业,吉林省,国企
8,000030,富奥股份,2020,汽车制造业,吉林省,国企
9,000030,富奥股份,2021,汽车制造业,吉林省,国企
10,000030,富奥股份,2022,汽车制造业,吉林省,国企
11,000030,富奥股份,2023,汽车制造业,吉林省,国企
12,000039,中集集团,2018,金属制品业,广东省,国企
13,000039,中集集团,2019,金属制品业,广东省,国企
14,000039,中集集团,2020,金属制品业,广东省,国企
15,000039,中集集团,2021,金属制品业,广东省,国企
16,000039,中集集团,2022,金属制品业,广东省,国企
17,000039,中集集团,2023,金属制品业,广东省,国企
18,000049,德赛电池,2018,电气机械和器材制造业,广东省,国企
19,000049,德赛电池,2019,电气机械和器材制造业,广东省,国企
20,000049,德赛电池,2020,电气机械和器材制造业,广东省,国企
21,000049,德赛电池,2021,电气机械和器材制造业,广东省,国企
22,000049,德赛电池,2022,电气机械和器材制造业,广东省,国企
23,000049,德赛电池,2023,电气机械和器材制造业,广东省,国企
24,000055,方大集团,2018,金属制品业,广东省,民营
25,000055,方大集团,2019,金属制品业,广东省,民营
26,000055,方大集团,2020,金属制品业,广东省,民营
27,000055,方大集团,2021,金属制品业,广东省,民营
28,000055,方大集团,2022,金属制品业,广东省,民营
29,000055,方大集团,2023,金属制品业,广东省,民营
30,000059,华锦股份,2018,石油加工、炼焦和核燃料加工业,辽宁省,国企
31,000059,华锦股份,2019,石油加工、炼焦和核燃料加工业,辽宁省,国企
32,000059,华锦股份,2020,石油加工、炼焦和核燃料加工业,辽宁省,国企
33,000059,华锦股份,2021,石油加工、炼焦和核燃料加工业,辽宁省,国企
34,000059,华锦股份,2022,石油加工、炼焦和核燃料加工业,辽宁省,国企
35,000059,华锦股份,2023,石油加工、炼焦和核燃料加工业,辽宁省,国企
36,000060,中金岭南,2018,有色金属冶炼和压延加工业,广东省,国企
37,000060,中金岭南,2019,有色金属冶炼和压延加工业,广东省,国企
38,000060,中金岭南,2020,有色金属冶炼和压延加工业,广东省,国企
39,000060,中金岭南,2021,有色金属冶炼和压延加工业,广东省,国企
40,000060,中金岭南,2022,有色金属冶炼和压延加工业,广东省,国企
41,000060,中金岭南,2023,有色金属冶炼和压延加工业,广东省,国企
42,000153,丰原药业,2018,医药制造业,安徽省,民营
43,000153,丰原药业,2019,医药制造业,安徽省,民营
44,000153,丰原药业,2020,医药制造业,安徽省,民营
45,000153,丰原药业,2021,医药制造业,安徽省,民营
46,000153,丰原药业,2022,医药制造业,安徽省,民营
47,000153,丰原药业,2023,医药制造业,安徽省,民营
48,000333,美的集团,2018,电气机械和器材制造业,广东省,民营
49,000333,美的集团,2019,电气机械和器材制造业,广东省,民营
50,000333,美的集团,2020,电气机械和器材制造业,广东省,民营
51,000333,美的集团,2021,电气机械和器材制造业,广东省,民营
52,000333,美的集团,2022,电气机械和器材制造业,广东省,民营
53,000333,美的集团,2023,电气机械和器材制造业,广东省,民营
54,000338,潍柴动力,2018,汽车制造业,山东省,国企
55,000338,潍柴动力,2019,汽车制造业,山东省,国企
56,000338,潍柴动力,2020,汽车制造业,山东省,国企
57,000338,潍柴动力,2021,汽车制造业,山东省,国企
58,000338,潍柴动力,2022,汽车制造业,山东省,国企
59,000338,潍柴动力,2023,汽车制造业,山东省,国企
60,000400,许继电气,2018,电气机械和器材制造业,河南省,国企
61,000400,许继电气,2019,电气机械和器材制造业,河南省,国企
62,000400,许继电气,2020,电气机械和器材制造业,河南省,国企
63,000400,许继电气,2021,电气机械和器材制造业,河南省,国企
64,000400,许继电气,2022,电气机械和器材制造业,河南省,国企
65,000400,许继电气,2023,电气机械和器材制造业,河南省,国企
66,000401,冀东水泥,2018,非金属矿物制品业,河北省,国企
67,000401,冀东水泥,2019,非金属矿物制品业,河北省,国企
68,000401,冀东水泥,2020,非金属矿物制品业,河北省,国企
69,000401,冀东水泥,2021,非金属矿物制品业,河北省,国企
70,000401,冀东水泥,2022,非金属矿物制品业,河北省,国企
71,000401,冀东水泥,2023,非金属矿物制品业,河北省,国企
72,000404,长虹华意,2018,通用设备制造业,江西省,国企
73,000404,长虹华意,2019,通用设备制造业,江西省,国企
74,000404,长虹华意,2020,通用设备制造业,江西省,国企
75,000404,长虹华意,2021,通用设备制造业,江西省,国企
76,000404,长虹华意,2022,通用设备制造业,江西省,国企
77,000404,长虹华意,2023,通用设备制造业,江西省,国企
78,000423,东阿阿胶,2018,医药制造业,山东省,国企
79,000423,东阿阿胶,2019,医药制造业,山东省,国企
80,000423,东阿阿胶,2020,医药制造业,山东省,国企
81,000423,东阿阿胶,2021,医药制造业,山东省,国企
82,000423,东阿阿胶,2022,医药制造业,山东省,国企
83,000423,东阿阿胶,2023,医药制造业,山东省,国企
84,000425,徐工机械,2018,专用设备制造业,江苏省,国企
85,000425,徐工机械,2019,专用设备制造业,江苏省,国企
86,000425,徐工机械,2020,专用设备制造业,江苏省,国企
87,000425,徐工机械,2021,专用设备制造业,江苏省,国企
88,000425,徐工机械,2022,专用设备制造业,江苏省,国企
89,000425,徐工机械,2023,专用设备制造业,江苏省,国企
90,000488,晨鸣纸业,2018,造纸和纸制品业,山东省,国企
