股票代码,股票简称,截止日期,行业代码,所属省份,股权性质,wufei,zhaochenyv,yuanchun,lishouxi,csmar,净资产收益率(%),资产报酬率(%),EBITDA率(%),营业收入增长率(%),成本费用利润率(%),总资产周转率(%),应收账款周转率(%),存货周转率(%),营业周期,现金资产比率(%),技术人员占比(%),研发营收比(%),发明专利申请数,数字化软硬件投入比(%),管理层数字职务设立,数字化战略导向前瞻性,数字化战略导向持续性,数字化战略导向广度,数字化战略导向强度,数字发明专利,数字国家级奖项,数字创新论文,数字创新标准,数字创新资质,数字创新资质,两权分离率(%),数字人力计划投入,科技创新基地建设,员工人均营收比(%),提供岗位增长率(%),员工收入增长率(%),社会责任报告质量,供应链合作伙伴,数字化供应链覆盖度,客户集中度(%),供应商集中度(%),投入资本回报率(%),总资产增长率(%),资本积累率(%),营业利润增长率(%),股权集中度(%),独董比例(%),现金流动负债比率(%),董事会规模,资产负债率(%),权益乘数(%),速动比率(%),流动资产周转率(%),长期资本负债率(%)
000012,南玻A,2020,30,广东省,2,0.6931471805599453,0.7484995411495414,1.6307893020221786,0.1122300217163755,39.5497,0.079286,0.0737,2252996013.0,0.019025,0.121556,0.591465,16.033155,9.148469,62.834391,0.15269432592923587,1.61,4.07,4.990432586778736,0.0,0.0,4.0,5.0,2.0,0.078947,0.0,0.0,0.0,0.0,0.0,0.0,15.5175,0.0,0.0,1.010726789638189,0.9948345131050251,1.3277206744114922,9.00019613439647,0.0,4.0,9.17,16.23,0.066883,-0.017489,0.076023,0.675221,32.71,0.3333333333333333,0.714994,2.302585092994046,0.406367,1.684543,1.001466,2.276974,0.245164
000012,南玻A,2021,30,广东省,2,2.0794415416798357,3.320889972403114,3.8988408851422554,0.3366900651491265,42.901,0.138887,0.109384,3022825029.0,0.277173,0.179459,0.720688,19.304678,9.271519,58.275209,0.19569753003126175,1.45,4.04,5.075173815233827,0.0,0.0,5.0,6.0,3.0,0.082729,0.0,0.0,0.0,0.0,0.0,0.0,15.5186,0.0,0.0,1.1443353190596137,12.805455578708091,24.495481941831798,9.0,0.0,8.0,8.73,19.17,0.09936,0.114995,0.117804,0.736641,33.09,0.3333333333333333,1.029559,2.302585092994046,0.404872,1.680311,1.375394,2.490126,0.265202
000012,南玻A,2022,30,广东省,2,2.1972245773362196,2.425420596741231,3.28307392996109,0.3557607517511524,37.6123,0.161923,0.105894,3426217459.0,0.115171,0.17574,0.663121,15.910558,7.649591,70.655711,0.07555289629760507,1.51,4.55,4.804021044733257,0.0,0.0,6.0,7.0,3.0,0.078121,0.0,0.0,0.0,0.0,0.0,0.0,14.8012,108.0,0.0,1.0659027279612876,19.72292191435767,11.122009731195925,9.0,0.0,7.0,15.73,19.41,0.098587,0.299139,0.127182,0.172104,27.26,0.375,0.261131,2.1972245773362196,0.483645,1.936651,1.006388,1.944408,0.273425
000012,南玻A,2023,30,广东省,2,2.1972245773362196,3.626144657224871,4.251269035532995,0.3557607517511524,39.5829,0.110806,0.063663,3043684618.0,0.197132,0.099642,0.646744,11.885119,8.381964,74.256553,0.09089597801757815,12.82,4.15,5.056245805348308,0.0,0.0,7.0,8.0,3.0,0.094639,0.0,0.0,0.0,0.0,0.0,0.0,14.8046,171.0,0.0,1.2410384261646545,2.819272038712395,2.0525825172601486,9.0,0.0,7.0,20.24,22.09,0.067906,0.172099,0.086802,-0.283143,28.64,0.375,0.307426,2.1972245773362196,0.521221,2.088648,0.874641,1.938865,0.320237
000030,富奥股份,2020,36,吉林省,1,2.5649493574615367,1.7747363256435005,5.591677503250976,0.6583712445412893,51.3215,0.11552,0.067531,1267244049.09,0.104297,0.085494,0.81173,6.676066,9.77457,92.266807,0.04127694003945857,13.0,2.18,0.0,0.0,0.0,7.0,7.0,5.0,0.182962,0.0,0.0,0.0,0.0,1.0,0.0,2.7348,0.0,0.0,1.502423999795863,-0.64472800537273,73.07316094639953,0.0,2.0,0.0,73.51,16.42,0.08241,0.119258,0.110148,-0.015471,75.98,0.3333333333333333,0.116291,2.302585092994046,0.427812,1.747678,1.325554,1.517664,0.112962
000030,富奥股份,2021,36,吉林省,1,3.367295829986474,4.465293196046274,8.3154736390913,1.346022045241299,56.7358,0.092734,0.057768,1228465401.62,0.154297,0.066624,0.874976,7.482725,10.435997,83.754117,0.12168591217039486,12.7,2.96,0.0,0.0,0.0,8.0,8.0,6.0,0.19439,0.0,0.0,0.0,0.0,0.0,0.0,2.7546,3.0,0.0,1.6670830902157243,4.028660267676076,-24.180188575891282,0.0,2.0,0.0,66.48,12.46,0.068497,0.027621,0.028687,-0.1953,70.98,0.3333333333333333,0.354242,2.302585092994046,0.427218,1.745866,1.2474,1.670849,0.127509
000030,富奥股份,2022,36,吉林省,1,3.091042453358316,2.5860827363586565,6.732844195079844,0.8351510144576296,49.4689,0.055169,0.029698,896089455.62,-0.020088,0.035881,0.834697,6.068094,9.279406,99.485097,0.018471575644194268,12.8,3.53,4.007333185232471,0.0,0.0,9.0,9.0,4.0,0.128507,0.0,0.0,0.0,0.0,0.0,0.0,2.7546,18.0,0.0,1.5542182994498022,5.107212475633527,-0.6723096261215811,0.0,1.0,2.0,58.47,14.13,0.039747,0.026789,-0.004854,-0.399031,71.18,0.3333333333333333,0.054079,2.302585092994046,0.44487,1.80138,1.112912,1.716159,0.15689
000030,富奥股份,2023,36,吉林省,1,3.295836866004329,3.768114101266023,7.879333633498424,1.0837796567085067,45.3122,0.084984,0.044369,1156439339.96,0.2603,0.045355,0.982278,5.525421,10.975783,99.313346,0.0026069008386548384,14.5,3.6,4.382026634673881,0.0,0.0,10.0,10.0,5.0,0.110911,0.0,0.0,0.0,0.0,0.0,0.0,2.8627,9.0,0.0,1.9857891745788419,-1.360039564787341,42.60640894140273,10.000026422385398,3.0,1.0,64.89,10.88,0.059228,0.112578,0.039121,0.569655,74.48,0.3333333333333333,0.006335,2.302585092994046,0.481522,1.928722,1.031412,2.032563,0.118978
000039,中集集团,2023,33,广东省,1,2.9444389791664403,9.730748112049175,3.206202849958089,1.1592649231957717,36.647,0.029278,0.028219,7622899000.0,-0.096986,0.022864,0.830841,5.650778,5.873011,126.741576,0.01671075651659361,11.25,1.91,5.680172609017068,0.23992998458432,0.0,10.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5242834373518725,-1.767456298624448,-0.32130177104191526,12.000103003052672,0.0,5.0,6.92,8.63,0.030767,0.108727,0.03151,-0.622674,74.33,0.3333333333333333,0.034224,2.302585092994046,0.600463,2.502899,0.876619,1.545234,0.219233
000039,中集集团,2022,33,广东省,1,1.6094379124341005,2.709249565979047,2.7777777777777777,0.4585747468038587,57.7511,0.076919,0.046061,10019854000.0,-0.135369,0.052414,0.942879,5.92479,6.283255,119.696469,0.1001882872488187,9.68,1.78,5.438079308923196,0.0,0.0,9.0,9.0,5.0,0.145932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.74599177385872,-0.39230085417230054,17.583422773222424,12.000082349373175,0.0,1.0,12.35,11.14,0.048393,-0.054578,0.099614,-0.442885,74.83,0.375,0.23203,2.1972245773362196,0.570554,2.328584,0.931022,1.78661,0.244213
