股票代码,截止日期,发布需求次数,招聘人数,当年参与国家标准制定数量,当年参与行业标准制定数量,数字创新资质认定数量,数字发明专利授权量,累计参与国家级科技创新基地建设数量,数字化国家级奖项数量,管理层数字职务设立数,创新导向前瞻性,创新导向持续性,创新导向广度,创新导向强度,计划投资项目数,计划投资总金额,数字创新论文发表数量,纳税总额,每股社会贡献值,社会捐赠额,是否经第三方机构审验,是否参照GRI《可持续发展报告指南》,是否披露股东权益保护,是否披露债权人权益保护,是否披露职工权益保护,是否披露供应商权益保护,是否披露客户及消费者权益保护,是否披露环境和可持续发展,是否披露公共关系和社会公益事业,是否披露社会责任制度建设及改善措施,是否披露安全生产内容,是否披露公司存在的不足,公告披露意愿,审计师是否来自四大会计师事务所,供应链合作伙伴数量
000001,2014,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,0.067946,,,0.0,1195300.0,0.0,1366.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,
000001,2015,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0,0.105903,,,0.0,1374600.0,0.0,1035.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,
000001,2016,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.02206,,,1.0,1909800.0,0.0,154.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,
000001,2017,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,3.0,0.111972,,,1.0,2390000.0,0.0,552.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,
000001,2018,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,6.0,0.203306,,,1.0,2309400.0,0.0,489.8333,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,
000001,2019,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,5.0,0.16176,,,0.0,2274900.0,0.0,748.62,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,
000001,2020,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,6.0,0.166791,,,0.0,2522000.0,0.0,9154.63,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,
000001,2021,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,4.0,0.133156,,,0.0,2415400.0,0.0,12196.06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,
000001,2022,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,5.0,0.141206,,,0.0,2760100.0,0.0,5822.06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,
000001,2023,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,5.0,0.160961,,,0.0,3111300.0,0.0,7397.72,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,
000002,2014,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.037039,,,3.0,2880000.0,0.0,2637.3,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,
000002,2015,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.010091,,,0.0,3230000.0,0.0,247.3,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,
000002,2016,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,,,0.0,0.0,0.0,9710.6,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,
000002,2017,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.022964,,,0.0,5660000.0,0.0,10350.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,
